frame,warmup,classification,confidence,laplacian_var,global_contrast,histogram_spread,global_mean,occlusion_score,obstruction_score,cell_mean_variance,temporal_mad,temporal_mad_var
0,1,CLEAN,0,255,254,192,118,3,12,50,111,111
1,1,CLEAN,0,255,254,192,118,3,12,50,105,6
2,1,CLEAN,0,255,254,192,118,3,12,50,99,6
3,1,CLEAN,0,255,254,192,118,3,12,50,93,6
4,1,CLEAN,0,255,254,192,118,3,12,50,88,5
5,1,CLEAN,0,255,254,192,118,3,12,50,83,5
6,1,CLEAN,0,255,254,192,118,3,12,50,78,5
7,1,CLEAN,0,255,254,192,118,3,12,50,74,4
8,1,CLEAN,0,255,254,192,118,3,12,50,70,4
9,1,CLEAN,0,255,254,192,118,3,12,50,66,4
10,1,CLEAN,0,255,254,192,118,3,12,50,62,4
11,1,CLEAN,0,255,254,192,118,3,12,50,59,3
12,1,CLEAN,0,255,254,192,118,3,12,50,56,3
13,1,CLEAN,0,255,254,192,118,3,12,50,53,3
14,1,CLEAN,0,255,254,192,118,3,12,50,50,3
15,1,CLEAN,0,255,254,192,118,3,12,50,47,3
16,1,CLEAN,0,255,254,192,118,3,12,50,45,2
17,1,CLEAN,0,255,254,192,118,3,12,50,43,2
18,1,CLEAN,0,255,254,192,118,3,12,50,41,2
19,1,CLEAN,0,255,254,192,118,3,12,50,39,2
20,1,CLEAN,0,255,254,192,118,3,12,50,37,2
21,1,CLEAN,0,255,254,192,118,3,12,50,35,2
22,1,CLEAN,0,255,254,192,118,3,12,50,33,2
23,1,CLEAN,0,255,254,192,118,3,12,50,31,2
24,1,CLEAN,0,255,254,192,118,3,12,50,30,1
25,1,CLEAN,0,255,254,192,118,3,12,50,29,1
26,1,CLEAN,0,255,254,192,118,3,12,50,28,1
27,1,CLEAN,0,255,254,192,118,3,12,50,27,1
28,1,CLEAN,0,255,254,192,118,3,12,50,26,1
29,1,CLEAN,0,255,254,192,118,3,12,50,25,1
30,1,CLEAN,0,255,254,192,118,3,12,50,24,1
31,1,CLEAN,0,255,254,192,118,3,12,50,23,1
32,1,CLEAN,0,255,254,192,118,3,12,50,22,1
33,1,CLEAN,0,255,254,192,118,3,12,50,21,1
34,1,CLEAN,0,255,254,192,118,3,12,50,20,1
35,1,CLEAN,0,255,254,192,118,3,12,50,19,1
36,1,CLEAN,0,255,254,192,118,3,12,50,18,1
37,1,CLEAN,0,255,254,192,118,3,12,50,17,1
38,1,CLEAN,0,255,254,192,118,3,12,50,16,1
39,1,CLEAN,0,255,254,192,118,3,12,50,15,1
40,1,CLEAN,0,255,254,192,118,3,12,50,15,0
41,1,CLEAN,0,255,254,192,118,3,12,50,15,0
42,1,CLEAN,0,255,254,192,118,3,12,50,15,0
43,1,CLEAN,0,255,254,192,118,3,12,50,15,0
44,1,CLEAN,0,255,254,192,118,3,12,50,15,0
45,1,CLEAN,0,255,254,192,118,3,12,50,15,0
46,1,CLEAN,0,255,254,192,118,3,12,50,15,0
47,1,CLEAN,0,255,254,192,118,3,12,50,15,0
48,1,CLEAN,0,255,254,192,118,3,12,50,15,0
49,1,CLEAN,0,255,254,192,118,3,12,50,15,0
50,1,CLEAN,0,255,254,192,118,3,12,50,15,0
51,1,CLEAN,0,255,254,192,118,3,12,50,15,0
52,1,CLEAN,0,255,254,192,118,3,12,50,15,0
53,1,CLEAN,0,255,254,192,118,3,12,50,15,0
54,1,CLEAN,0,255,254,192,118,3,12,50,15,0
55,1,CLEAN,0,255,254,192,118,3,12,50,15,0
56,1,CLEAN,0,255,254,192,118,3,12,50,15,0
57,1,CLEAN,0,255,254,192,118,3,12,50,15,0
58,1,CLEAN,0,255,254,192,118,3,12,50,15,0
59,1,CLEAN,0,255,254,192,118,3,12,50,15,0
60,0,CLEAN,0,255,254,192,118,3,12,50,15,0
61,0,CLEAN,0,255,254,192,118,3,12,50,15,0
62,0,CLEAN,0,255,254,192,118,3,12,50,15,0
63,0,CLEAN,0,255,254,192,118,3,12,50,15,0
64,0,CLEAN,0,255,254,192,118,3,12,50,15,0
65,0,CLEAN,0,255,254,192,118,3,12,50,15,0
66,0,CLEAN,0,255,254,192,118,3,12,50,15,0
67,0,CLEAN,0,255,254,192,118,3,12,50,15,0
68,0,CLEAN,0,255,254,192,118,3,12,50,15,0
69,0,CLEAN,0,255,254,192,118,3,12,50,15,0
70,0,CLEAN,132,9,18,32,126,0,12,0,63,48
71,0,CLEAN,132,9,18,32,126,0,12,0,60,3
72,0,CLEAN,132,9,18,32,126,0,12,0,57,3
73,0,CLEAN,132,9,18,32,126,0,12,0,54,3
74,0,FOG,132,9,18,32,126,0,12,0,51,3
75,0,FOG,132,9,18,32,126,0,12,0,48,3
76,0,FOG,132,9,18,32,126,0,12,0,45,3
77,0,FOG,132,9,18,32,126,0,12,0,43,2
78,0,FOG,132,9,18,32,126,0,12,0,41,2
79,0,FOG,132,9,18,32,126,0,12,0,39,2
80,0,FOG,132,9,18,32,126,0,12,0,37,2
81,0,FOG,132,9,18,32,126,0,12,0,35,2
82,0,FOG,132,9,18,32,126,0,12,0,33,2
83,0,FOG,132,9,18,32,126,0,12,0,31,2
84,0,FOG,132,9,18,32,126,0,12,0,30,1
85,0,FOG,132,9,18,32,126,0,12,0,29,1
86,0,FOG,132,9,18,32,126,0,12,0,28,1
87,0,FOG,132,9,18,32,126,0,12,0,27,1
88,0,FOG,132,9,18,32,126,0,12,0,26,1
89,0,FOG,132,9,18,32,126,0,12,0,25,1
90,0,FROST,150,0,4,0,208,0,12,0,106,81
91,0,FROST,150,0,4,0,208,0,12,0,100,6
92,0,FROST,150,0,4,0,208,0,12,0,94,6
93,0,FROST,150,0,4,0,208,0,12,0,89,5
94,0,FROST,150,0,4,0,208,0,12,0,84,5
95,0,FROST,150,0,4,0,208,0,12,0,79,5
96,0,FROST,150,0,4,0,208,0,12,0,75,4
97,0,FROST,150,0,4,0,208,0,12,0,71,4
98,0,FROST,150,0,4,0,208,0,12,0,67,4
99,0,FROST,150,0,4,0,208,0,12,0,63,4
100,0,FROST,150,0,4,0,208,0,12,0,60,3
101,0,FROST,150,0,4,0,208,0,12,0,57,3
102,0,FROST,150,0,4,0,208,0,12,0,54,3
103,0,FROST,150,0,4,0,208,0,12,0,51,3
104,0,FROST,150,0,4,0,208,0,12,0,48,3
105,0,FROST,150,0,4,0,208,0,12,0,45,3
106,0,FROST,150,0,4,0,208,0,12,0,43,2
107,0,FROST,150,0,4,0,208,0,12,0,41,2
108,0,FROST,150,0,4,0,208,0,12,0,39,2
109,0,FROST,150,0,4,0,208,0,12,0,37,2
110,0,OBSTRUCTION,255,255,254,224,104,8,12,146,162,125
111,0,OBSTRUCTION,255,255,254,224,104,8,12,146,152,10
112,0,OBSTRUCTION,255,255,254,224,104,8,12,146,143,9
113,0,OBSTRUCTION,255,255,254,224,104,8,12,146,135,8
114,0,OBSTRUCTION,255,255,254,224,104,8,12,146,127,8
115,0,OBSTRUCTION,255,255,254,224,104,8,12,146,120,7
116,0,OBSTRUCTION,255,255,254,224,104,8,12,146,113,7
117,0,OBSTRUCTION,255,255,254,224,104,8,12,146,106,7
118,0,OBSTRUCTION,255,255,254,224,104,8,12,146,100,6
119,0,OBSTRUCTION,255,255,254,224,104,8,12,146,94,6
120,0,OBSTRUCTION,255,255,254,224,104,8,12,146,89,5
121,0,OBSTRUCTION,255,255,254,224,104,8,12,146,84,5
122,0,OBSTRUCTION,255,255,254,224,104,8,12,146,79,5
123,0,OBSTRUCTION,255,255,254,224,104,8,12,146,75,4
124,0,OBSTRUCTION,255,255,254,224,104,8,12,146,71,4
125,0,OBSTRUCTION,255,255,254,224,104,8,12,146,67,4
126,0,OBSTRUCTION,255,255,254,224,104,8,12,146,63,4
127,0,OBSTRUCTION,255,255,254,224,104,8,12,146,60,3
128,0,OBSTRUCTION,255,255,254,224,104,8,12,146,57,3
129,0,OBSTRUCTION,255,255,254,224,104,8,12,146,54,3
130,0,OBSTRUCTION,0,0,0,0,5,0,12,0,149,95
131,0,OBSTRUCTION,0,0,0,0,5,0,12,0,140,9
132,0,OBSTRUCTION,0,0,0,0,5,0,12,0,132,8
133,0,OBSTRUCTION,0,0,0,0,5,0,12,0,124,8
134,0,OBSTRUCTION,0,0,0,0,5,0,12,0,117,7
135,0,OBSTRUCTION,0,0,0,0,5,0,12,0,110,7
136,0,OBSTRUCTION,0,0,0,0,5,0,12,0,104,6
137,0,OBSTRUCTION,0,0,0,0,5,0,12,0,98,6
138,0,OBSTRUCTION,0,0,0,0,5,0,12,0,92,6
139,0,OBSTRUCTION,0,0,0,0,5,0,12,0,87,5
140,0,OBSTRUCTION,0,0,0,0,5,0,12,0,82,5
141,0,OBSTRUCTION,0,0,0,0,5,0,12,0,77,5
142,0,OBSTRUCTION,0,0,0,0,5,0,12,0,73,4
143,0,OBSTRUCTION,0,0,0,0,5,0,12,0,69,4
144,0,CLEAN,0,0,0,0,5,0,12,0,65,4
145,0,CLEAN,0,255,254,192,118,3,12,50,167,102
146,0,CLEAN,0,255,254,192,118,3,12,50,157,10
147,0,CLEAN,0,255,254,192,118,3,12,50,148,9
148,0,CLEAN,0,255,254,192,118,3,12,50,139,9
149,0,CLEAN,0,255,254,192,118,3,12,50,131,8
150,0,CLEAN,0,255,254,192,118,3,12,50,123,8
151,0,CLEAN,0,255,254,192,118,3,12,50,116,7
152,0,CLEAN,0,255,254,192,118,3,12,50,109,7
153,0,CLEAN,0,255,254,192,118,3,12,50,103,6
154,0,CLEAN,0,255,254,192,118,3,12,50,97,6
155,0,CLEAN,0,255,254,192,118,3,12,50,91,6
156,0,CLEAN,0,255,254,192,118,3,12,50,86,5
157,0,CLEAN,0,255,254,192,118,3,12,50,81,5
158,0,CLEAN,0,255,254,192,118,3,12,50,76,5
159,0,CLEAN,0,255,254,192,118,3,12,50,72,4
160,0,CLEAN,0,255,254,192,118,3,12,50,68,4
161,0,CLEAN,0,255,254,192,118,3,12,50,64,4
162,0,CLEAN,0,255,254,192,118,3,12,50,60,4
163,0,CLEAN,0,255,254,192,118,3,12,50,57,3
164,0,CLEAN,0,255,254,192,118,3,12,50,54,3
